"route_no","departure_airport","arrival_airport","departure_airport_name","actual_arrival"
"PG0063","VKO","LED","Внуково","2025-11-30 23:55:34"
"PG0063","VKO","LED","Внуково","2025-11-30 23:55:34"
"PG0063","VKO","LED","Внуково","2025-11-30 23:55:34"
"PG0063","VKO","LED","Внуково","2025-11-30 23:55:34"
"PG0225","HGH","PVG","Сяошань","2025-11-30 23:54:55"
"PG0225","HGH","PVG","Сяошань","2025-11-30 23:54:55"
"PG0225","HGH","PVG","Сяошань","2025-11-30 23:54:55"
"PG0225","HGH","PVG","Сяошань","2025-11-30 23:54:55"
"PG0158","CLT","JFK","Шарлотт Дуглас","2025-11-30 23:38:28"
"PG0158","CLT","JFK","Шарлотт Дуглас","2025-11-30 23:38:28"
"PG0274","HYD","DEL","Раджив Ганди","2025-11-30 23:37:18"
"PG0274","HYD","DEL","Раджив Ганди","2025-11-30 23:37:18"
"PG0321","PRG","FCO","Вацлав Гавел","2025-11-30 23:30:17"
"PG0045","PNQ","BOM","Пуна","2025-11-30 22:49:31"
"PG0045","PNQ","BOM","Пуна","2025-11-30 22:49:31"
"PG0045","PNQ","BOM","Пуна","2025-11-30 22:49:31"
"PG0045","PNQ","BOM","Пуна","2025-11-30 22:49:31"
"PG0414","PVG","HND","Пудун","2025-11-30 22:47:53"
"PG0112","BOM","MAA","Чхатрапати Шиваджи","2025-11-30 22:07:36"
"PG0112","BOM","MAA","Чхатрапати Шиваджи","2025-11-30 22:07:36"
